,Company,MarketValue,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,ForbesWebpage,ProfitsPerAsset,ProfitPerRevenue,CountryCode,Latitude,Longitude
0,ICBC,305.057,175.87400000000002,45.223,4034.482,1,Financials,Major Banks,Asia,China,China,,Shu Gu,http://www.forbes.com/companies/icbc/,0.0112091217658178,0.257132947451016,CN,40.0495,116.286
1,JPMorgan Chase,368.50199999999995,132.912,32.738,2737.188,2,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.0119604499215984,0.24631335018658998,US,38.8895,-77.032
2,China Construction Bank,224.988,150.313,38.841,3382.422,3,Financials,Major Banks,Asia,China,China,,Wang Zuji,http://www.forbes.com/companies/china-construction-bank/,0.0114831916301396,0.25840080365637,CN,40.0495,116.286
3,Agricultural Bank of China,197.045,137.45600000000002,30.894000000000002,3293.105,4,Financials,Regional Banks,Asia,China,China,,Huan Zhao,http://www.forbes.com/companies/agricultural-bank-of-china/,0.00938141966320539,0.22475555814224202,CN,40.0495,116.286
4,Bank of America,287.339,111.904,28.54,2377.1639999999998,5,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian Moynihan,http://www.forbes.com/companies/bank-of-america/,0.0120059028321142,0.255040034315127,US,38.8895,-77.032
5,Apple,961.257,261.705,59.431000000000004,373.719,6,Information Technology,Computer Hardware,North America,United States,California,California,Tim Cook,http://www.forbes.com/companies/apple/,0.15902589913812198,0.22709157257217102,US,38.8895,-77.032
6,Ping An Insurance Group,220.197,151.78799999999998,16.3,1038.3,7,Financials,Diversified Insurance,Asia,China,China,,Ma Mingzhe,http://www.forbes.com/companies/ping-an-insurance/,0.0156987383222575,0.107386618177985,CN,40.0495,116.286
7,Bank of China,142.958,126.677,27.5,3097.612,8,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.00887780651676194,0.217087553383803,CN,40.0495,116.286
8,Royal Dutch Shell,264.939,382.626,23.329,399.194,9,Energy,Oil & Gas Operations,Europe,Netherlands,Netherlands,,Bernardus Margriet van Beurden,http://www.forbes.com/companies/royal-dutch-shell/,0.058440257118092996,0.0609707651858473,NL,52.3738,4.89095
9,Wells Fargo,214.676,101.456,23.116999999999997,1887.7920000000001,10,Financials,Major Banks,North America,United States,California,California,Timothy Sloan,http://www.forbes.com/companies/wells-fargo/,0.0122455228118352,0.227852468064974,US,38.8895,-77.032
10,ExxonMobil,343.431,279.209,20.84,346.19599999999997,11,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Darren W. Woods,http://www.forbes.com/companies/exxon-mobil/,0.0601971137737004,0.0746394278121407,US,38.8895,-77.032
11,AT&T,233.325,170.805,19.37,531.864,12,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall L. Stephenson,http://www.forbes.com/companies/att/,0.0364190845780124,0.11340417435086801,US,38.8895,-77.032
12,Samsung Electronics,272.42400000000004,221.50599999999997,39.882,304.138,13,Information Technology,Semiconductors,Asia,South Korea,South Korea,,Hyun-Suk Kim,http://www.forbes.com/companies/samsung-electronics/,0.131131262782027,0.18004929889032398,KR,37.5323,126.957
13,Citigroup,161.112,99.97399999999999,17.928,1958.4129999999998,14,Financials,Major Banks,North America,United States,New York,New York,Michael L. Corbat,http://www.forbes.com/companies/citigroup/,0.0091543509974658,0.17932662492248003,US,38.8895,-77.032
14,Toyota Motor,176.602,272.144,17.241,465.625,15,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takeshi Uchiyamada,http://www.forbes.com/companies/toyota-motor/,0.0370276510067114,0.0633524898583103,JP,35.67,139.77
15,Microsoft,946.5210000000001,118.22399999999999,33.541,258.85900000000004,16,Information Technology,Software & Programming,North America,United States,Washington,Washington,Satya Nadella,http://www.forbes.com/companies/microsoft/,0.129572469954686,0.28370719989173104,US,38.8895,-77.032
16,Alphabet,863.178,136.958,30.736,232.792,17,Information Technology,Computer Services,North America,United States,California,California,Lawrence Page,http://www.forbes.com/companies/alphabet/,0.13203202859204802,0.22441916499948897,US,38.8895,-77.032
17,Volkswagen Group,91.95100000000001,278.243,13.955,553.506,18,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Herbert Diess,http://www.forbes.com/companies/volkswagen-group/,0.0252120121552431,0.0501540020773209,DE,52.5235,13.4115
18,Chevron,228.32299999999998,158.741,14.824000000000002,253.863,19,Energy,Oil & Gas Operations,North America,United States,California,California,Michael K. Wirth,http://www.forbes.com/companies/chevron/,0.0583937005392672,0.0933848218166699,US,38.8895,-77.032
19,Verizon Communications,239.705,130.863,15.527999999999999,264.829,20,Telecommunication Services,Telecommunications services,North America,United States,New Jersey,New Jersey,Hans Vestberg,http://www.forbes.com/companies/verizon-communications/,0.058634061979617,0.118658444327274,US,38.8895,-77.032
20,HSBC Holdings,175.46,64.294,13.664000000000001,2558.124,21,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,John Flint,http://www.forbes.com/companies/hsbc-holdings/,0.0053414142551338395,0.212523719165085,GB,51.5002,-0.126236
21,PetroChina,198.65099999999998,322.842,7.9910000000000005,354.306,22,Energy,Oil & Gas Operations,Asia,China,China,,Yi Wang,http://www.forbes.com/companies/petrochina/,0.0225539505399288,0.024752045892417997,CN,40.0495,116.286
22,Allianz,102.303,118.84299999999999,8.802999999999999,1060.2169999999999,23,Financials,Diversified Insurance,Europe,Germany,Germany,,Oliver Bäte,http://www.forbes.com/companies/allianz/,0.00830301721251404,0.0740725158402262,DE,52.5235,13.4115
23,BP,149.548,299.065,9.332,282.176,24,Energy,Oil & Gas Operations,Europe,United Kingdom,United Kingdom,,Robert Dudley,http://www.forbes.com/companies/bp/,0.0330715581764573,0.0312039188805109,GB,51.5002,-0.126236
24,Total,149.486,184.202,11.401,256.762,25,Energy,Oil & Gas Operations,Europe,France,France,,Patrick Pouyanné,http://www.forbes.com/companies/total/,0.0444029879810875,0.0618940076654977,FR,48.8566,2.35097
25,Berkshire Hathaway,516.4069999999999,247.83700000000002,4.021,707.794,26,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.0056810314865624705,0.0162243732775978,US,38.8895,-77.032
26,China Mobile,197.572,111.804,17.906,223.708,27,Telecommunication Services,Telecommunications services,Asia,Hong Kong,Hong Kong,,Yue Li,http://www.forbes.com/companies/china-mobile/,0.0800418402560481,0.16015527172552,HK,22.3964,114.109
